x,y,z,cosx,cosy,cosz,element,stage,raynum
0.0171,0.0692,1.5,-0.184,0.362,0.914,-2,1,168
0.242,-0.193,-0.00155,1e-16,0e+00,-1,36,1,169
-0.0388,-0.0485,1.5,-0.183,0.0942,0.979,-2,1,169
-0.127,0.403,-0.00404,1e-16,0e+00,-1,61,1,170
0.0248,-0.0343,1.5,0.0964,-0.278,0.956,-2,1,170
-0.314,-0.115,0.00157,1e-16,0e+00,-1,32,1,171
-0.0259,0.0317,1.5,0.188,0.0956,0.978,-2,1,171
0.102,0.59,0.00219,1e-16,0e+00,-1,70,1,172
-0.0493,-0.0016,1.5,-0.0936,-0.366,0.926,-2,1,172
0.122,0.434,0.000147,1e-16,0e+00,-1,63,1,173
-0.0276,-0.00442,1.5,-0.095,-0.279,0.956,-2,1,173
0.471,-0.366,-0.00217,1e-16,3e-17,-1,23,1,174
0.0226,0.0797,1.5,-0.275,0.273,0.922,-2,1,174
-0.434,-0.258,-0.00138,1e-16,0e+00,-1,24,1,175
0.00679,0.0279,1.5,0.277,0.18,0.944,-2,1,175
0.288,-0.241,-0.0037,1e-16,1e-17,-1,29,1,176
-0.00197,0.0463,1.5,-0.186,0.184,0.965,-2,1,176
-0.115,0.378,-0.00812,1e-16,0e+00,-1,61,1,177
0.0337,-0.0568,1.5,0.0944,-0.276,0.957,-2,1,177
0.35,-0.0374,0.0062,1e-16,0e+00,-1,43,1,178
0.061,-0.0333,1.5,-0.19,0.00268,0.982,-2,1,178
0.0222,-0.261,-0.00219,1e-16,0e+00,-1,27,1,179
0.0199,0.027,1.5,-0.00154,0.188,0.982,-2,1,179
0.0125,0.602,0.00641,1e-16,0e+00,-1,69,1,180
0.0154,0.0215,1.5,0.00179,-0.362,0.932,-2,1,180
0.487,0.12,0.00758,1e-16,0e+00,-1,51,1,181
0.0527,-0.0265,1.5,-0.278,-0.0939,0.956,-2,1,181
-0.472,0.148,0.00676,8e-17,0e+00,-1,45,1,182
-0.0416,0.00472,1.5,0.276,-0.092,0.957,-2,1,182
0.366,0.434,-0.00735,1e-16,-3e-17,-1,65,1,183
-0.0834,-0.00728,1.5,-0.275,-0.27,0.923,-2,1,183
0.204,0.22,-0.00313,1e-16,0e+00,-1,56,1,184
0.0629,-0.0701,1.5,-0.092,-0.189,0.978,-2,1,184
-0.103,0.124,-0.00273,1e-16,-7e-18,-1,47,1,185
0.0402,-0.0238,1.5,0.0943,-0.0972,0.991,-2,1,185
0.0283,-0.626,0.0109,1e-16,0e+00,-1,13,1,186
0.031,-0.0409,1.5,0.00168,0.366,0.931,-2,1,186
0.451,0.672,-0.00545,1e-16,0e+00,-1,79,1,187
0.236,-0.489,0.00436,1e-16,0e+00,-1,22,1,188
-0.0586,-0.0501,1.5,-0.186,0.277,0.943,-2,1,188
-0.272,0.343,0.00446,1e-16,-1e-17,-1,53,1,189
0.0143,0.0506,1.5,0.184,-0.189,0.965,-2,1,189
-0.279,-0.301,0.00115,1e-16,1e-17,-1,25,1,190
0.00382,-0.0161,1.5,0.182,0.184,0.966,-2,1,190
-0.247,0.446,-0.000618,1e-16,0e+00,-1,60,1,191
0.0417,0.00947,1.5,0.182,-0.275,0.944,-2,1,191
0.187,-0.0726,-0.00115,1e-16,7e-18,-1,35,1,192
0.0397,0.067,1.5,-0.0972,0.0922,0.991,-2,1,192
-0.415,0.182,0.000312,8e-17,0e+00,-1,45,1,193
0.0249,0.0395,1.5,0.28,-0.0905,0.956,-2,1,193
0.0952,-0.329,0.00207,1e-16,0e+00,-1,28,1,194
-0.053,-0.0441,1.5,-0.0967,0.186,0.978,-2,1,194
0.225,-0.129,-0.00623,1e-16,0e+00,-1,36,1,195
-0.0592,0.0204,1.5,-0.184,0.097,0.978,-2,1,195
0.375,0.0641,-0.00717,1e-16,0e+00,-1,44,1,196
-0.0637,0.0651,1.5,-0.28,0.000647,0.96,-2,1,196
-0.194,0.195,0.00494,1e-16,-7e-18,-1,47,1,197
-0.0452,0.0525,1.5,0.0983,-0.0943,0.991,-2,1,197
0.345,-0.502,-0.00676,1e-16,0e+00,-1,15,1,198
0.341,-0.493,0.0149,-0.179,0.361,0.915,22,1,198
0.254,0.338,0.00224,1e-16,-1e-17,-1,57,1,199
-0.0407,0.0495,1.5,-0.19,-0.186,0.964,-2,1,199
0.0244,0.364,-0.00885,1e-16,0e+00,-1,62,1,200
0.0244,-0.067,1.5,-6e-06,-0.274,0.962,-2,1,200
